maximum.arity,number.of.predicates,number.of.variables,domain.size,number.of.facts,universe.size,Propagating evidence,Cycle breaking,instance,Grounding,number.of.independent.pairs,Total time,Compiling BDD,answer,proportion.probabilistic,maximum.number.of.nodes
2,2,4,100,1000,10100,0.0000,0.0001,2,0.0008,0,0.0837,0.0013,0.4,0.5,2
2,8,2,400,1000,162800,0.0000,0.0001,9,0.0007,19,0.0752,0.0011,0.6,0.75,2
3,8,4,200,100000,32080400,0.0000,0.0000,0,0.0010,1,10.8919,0.0013,1,0.25,8
3,8,4,100,100000,3030200,0.0000,0.0000,4,0.0013,1,21.2673,0.0019,1,0.5,8
3,4,8,400,100000,64001200,0.0000,0.0000,9,0.0017,1,20.8189,0.0023,1,0.25,4
1,8,4,200,1000,1600,0.0000,,0,0.0022,9,0.0758,,,0.25,4
2,8,4,200,1000,280200,0.0000,,8,0.0038,16,0.1227,,,0.25,2
3,8,8,400,10000,256320800,0.0000,0.0001,9,0.0010,23,1.4335,0.0016,0.7,0.75,2
3,8,2,200,1000,56000200,0.0000,0.0000,5,0.0010,8,0.1587,0.0012,1,0.5,4
3,4,8,100,100000,3000100,0.0000,0.0000,3,0.0014,1,14.7120,0.0012,1,0.5,4
3,8,8,200,100000,8240200,0.0000,0.0000,2,0.0017,17,13.5035,0.0024,1,0.5,4
1,8,2,200,1200.0,1600,0.0000,,7,0.0073,6,0.2344,,,0.75,8
2,8,4,200,10000,200600,0.0000,0.0001,5,0.0013,8,1.8376,0.0026,0.7,0.25,8
3,8,2,400,10000,128481200,0.0000,0.0000,0,0.0008,8,1.1994,0.0012,1,0.5,4
2,4,4,200,90150.0,120200,0.0000,,4,0.0678,4,11.8548,,,0.75,8
3,8,4,100,10000,5020100,0.0000,0.0001,7,0.0010,15,1.4429,0.0026,0.6,0.75,4
2,4,4,400,100000,320800,0.0000,0.0000,2,0.0016,4,21.3332,0.0021,1,0.75,8
2,8,8,100,1000,30500,0.0000,0.0002,6,0.0025,12,0.1177,0.0017,0.808,0.75,2
2,4,4,400,100000,320800,0.0000,,6,40.2186,0,60.0002,,,0.5,2
2,8,2,400,1000,801200,0.0000,0.0000,2,0.0009,19,0.0938,0.0012,1,0.25,2
1,8,2,100,600.0,800,0.0000,,5,0.0020,12,0.0603,,,0.75,4
1,8,8,100,600.0,800,0.0000,,9,0.0060,5,0.0587,,,0.5,2
3,8,2,100,10000,2050100,0.0000,0.0001,5,0.0009,23,1.3791,0.0014,0.2,0.75,4
3,8,2,100,1000,3010400,0.0000,0.0000,8,0.0010,28,0.1349,0.0013,1,0.75,2
3,8,2,100,10000,5020100,0.0000,0.0000,3,0.0010,28,1.2056,0.0014,1,0.25,2
2,2,4,400,100000,320000,0.0000,,3,0.1209,0,10.8107,,,0.25,2
2,8,4,400,100000,641600,0.0000,0.0000,5,0.0011,16,12.0278,0.0015,1,0.5,2
1,8,2,400,1000,3200,0.0000,0.0001,8,0.0017,9,0.0939,0.0014,0.9,0.75,4
1,8,8,400,2400.0,3200,0.0000,,2,0.0024,11,0.1720,,,0.25,4
3,8,2,400,10000,128640800,0.0000,0.0000,3,0.0009,8,1.1387,0.0012,1,0.25,4
3,4,4,100,10000,1010200,0.0000,0.0000,9,0.0010,6,1.3230,0.0012,1,0.5,8
3,2,2,100,10000,1010000,0.0000,0.0000,8,0.0021,1,1.3418,0.0015,1,0.5,4
3,4,8,200,100000,16040200,0.0000,,4,0.0026,1,16.7767,,,0.75,4
3,8,8,400,1000,192480800,0.0000,0.0000,5,0.0014,17,0.2234,0.0023,1,0.5,4
3,8,4,400,10000,320320400,0.0000,0.0000,1,0.0013,3,2.1841,0.0021,1,0.25,2
3,8,2,200,10000,24040800,0.0000,0.0001,2,0.0014,8,2.1908,0.0026,0.6,0.25,4
2,8,2,200,10000,200600,0.0000,0.0001,7,0.0015,19,1.8681,0.0025,0.5,0.25,2
