maximum.number.of.nodes,number.of.variables,number.of.independent.pairs,domain.size,number.of.facts,universe.size,Propagating evidence,Grounding,DSharp compilation,proportion.probabilistic,instance,Cycle breaking,Clark's completion,answer,number.of.predicates,maximum.arity,Total time
2,4,0,100,1000,10100,0.0000,0.0011,0.0004,0.5,2,0.0001,0.0000,0.4,2,2,0.1560
2,2,19,400,1000,162800,0.0000,0.0011,0.0004,0.75,9,0.0001,0.0000,0.6,8,2,0.1395
8,4,1,200,100000,32080400,0.0000,0.0010,0.0003,0.25,0,0.0000,0.0000,1,8,3,18.8051
8,4,1,100,100000,3030200,0.0000,0.0015,0.0005,0.5,4,0.0000,0.0000,1,8,3,23.1594
4,8,1,400,100000,64001200,0.0000,0.0019,0.0005,0.25,9,0.0000,0.0000,1,4,3,22.0128
4,4,9,200,1000,1600,0.0000,0.0035,,0.25,0,,,,8,1,0.1445
2,4,16,200,1000,280200,0.0000,0.0059,,0.25,8,,,,8,2,0.1948
2,8,23,400,10000,256320800,0.0000,0.0016,0.0005,0.75,9,0.0001,0.0000,0.7,8,3,2.6403
4,2,8,200,1000,56000200,0.0000,0.0013,0.0004,0.5,5,0.0000,0.0000,1,8,3,0.2586
4,8,1,100,100000,3000100,0.0000,0.0024,0.0006,0.5,3,0.0000,0.0000,1,4,3,21.0749
4,8,17,200,100000,8240200,0.0000,0.0011,0.0004,0.5,2,0.0001,0.0000,1,8,3,20.6808
8,2,6,200,1200.0,1600,0.0000,0.0043,,0.75,7,,,,8,1,0.1133
8,4,8,200,10000,200600,0.0000,0.0010,0.0003,0.25,5,0.0001,0.0000,0.7,8,2,1.2853
4,2,8,400,10000,128481200,0.0000,0.0013,0.0005,0.5,0,0.0000,0.0000,1,8,3,1.9351
8,4,4,200,90150.0,120200,0.0000,0.1243,,0.75,4,,,,4,2,22.0618
4,4,15,100,10000,5020100,0.0000,0.0016,0.0006,0.75,7,0.0001,0.0000,0.6,8,3,2.5807
8,4,4,400,100000,320800,0.0000,0.0010,0.0003,0.75,2,0.0000,0.0000,1,4,2,22.5223
2,8,12,100,1000,30500,0.0000,0.0038,0.0128,0.75,6,0.0004,0.0001,0.808,8,2,0.2203
2,4,0,400,100000,320800,0.0000,38.2663,,0.5,6,,,,4,2,60.0003
2,2,19,400,1000,801200,0.0000,0.0014,0.0005,0.25,2,0.0000,0.0000,1,8,2,0.1769
