maximum.number.of.nodes,Clark's completion,Transform output,Propagating evidence,number.of.predicates,instance,Total time,maximum.arity,number.of.independent.pairs,domain.size,proportion.probabilistic,Solver call,Grounding,Transform input,Cycle breaking,universe.size,number.of.facts,number.of.variables,answer
2,0.0000,0.0000,0.0000,2,2,0.1833,2,0,100,0.5,0.0145,0.0012,0.0001,0.0001,10100,1000,4,0.4
2,0.0000,0.0000,0.0000,8,9,0.1732,2,19,400,0.75,0.0126,0.0022,0.0001,0.0001,162800,1000,2,0.6
8,0.0000,,0.0000,8,0,16.7328,3,1,200,0.25,,0.0011,,0.0000,32080400,100000,4,1
8,0.0000,,0.0000,8,4,24.7784,3,1,100,0.5,,0.0042,,0.0000,3030200,100000,4,1
4,0.0000,,0.0000,4,9,23.3826,3,1,400,0.25,,0.0019,,0.0000,64001200,100000,8,1
4,,,0.0000,8,0,0.1445,1,9,200,0.25,,0.0034,,,1600,1000,4,
2,,,0.0000,8,8,0.1899,2,16,200,0.25,,0.0060,,,280200,1000,4,
2,0.0000,0.0000,0.0000,8,9,2.5381,3,23,400,0.75,0.0177,0.0014,0.0002,0.0001,256320800,10000,8,0.7
4,0.0000,,0.0000,8,5,0.1623,3,8,200,0.5,,0.0009,,0.0000,56000200,1000,2,1
4,0.0000,,0.0000,4,3,17.1556,3,1,100,0.5,,0.0012,,0.0000,3000100,100000,8,1
4,0.0000,,0.0000,8,2,12.2661,3,17,200,0.5,,0.0010,,0.0000,8240200,100000,8,1
8,,,0.0000,8,7,0.1137,1,6,200,0.75,,0.0042,,,1600,1200.0,2,
8,0.0000,0.0000,0.0000,8,5,1.0599,2,8,200,0.25,0.0173,0.0015,0.0002,0.0001,200600,10000,4,0.7
4,0.0000,,0.0000,8,0,1.6471,3,8,400,0.5,,0.0009,,0.0000,128481200,10000,2,1
8,,,0.0000,4,4,17.2309,2,4,200,0.75,,0.1147,,,120200,90150.0,4,
4,0.0000,0.0000,0.0000,8,7,2.4436,3,15,100,0.75,0.0189,0.0013,0.0002,0.0001,5020100,10000,4,0.6
8,0.0000,,0.0000,4,2,18.1539,2,4,400,0.75,,0.0013,,0.0000,320800,100000,4,1
2,0.0001,0.0000,0.0000,8,6,0.2890,2,12,100,0.75,0.0168,0.0038,0.0003,0.0004,30500,1000,8,0.808
2,,,0.0000,4,6,60.0002,2,0,400,0.5,,40.9175,,,320800,100000,4,
2,0.0000,,0.0000,8,2,0.2800,2,19,400,0.25,,0.0014,,0.0001,801200,1000,2,1
4,,,0.0000,8,5,0.1187,1,12,100,0.75,,0.0029,,,800,600.0,2,
2,,,0.0000,8,9,0.0907,1,5,100,0.5,,0.0095,,,800,600.0,8,
4,0.0000,0.0000,0.0000,8,5,2.6964,3,23,100,0.75,0.0181,0.0016,0.0002,0.0001,2050100,10000,2,0.2
2,0.0000,,0.0000,8,8,0.1394,3,28,100,0.75,,0.0009,,0.0000,3010400,1000,2,1
2,0.0000,,0.0000,8,3,1.3934,3,28,100,0.25,,0.0016,,0.0000,5020100,10000,2,1
2,,,0.0000,2,3,11.5367,2,0,400,0.25,,0.1224,,,320000,100000,4,
2,0.0000,,0.0000,8,5,14.3331,2,16,400,0.5,,0.0010,,0.0000,641600,100000,4,1
4,0.0000,0.0000,0.0000,8,8,0.1338,1,9,400,0.75,0.0131,0.0017,0.0002,0.0001,3200,1000,2,0.9
4,,,0.0000,8,2,0.1789,1,11,400,0.25,,0.0032,,,3200,2400.0,8,
4,0.0000,,0.0000,8,3,1.1331,3,8,400,0.25,,0.0009,,0.0000,128640800,10000,2,1
8,0.0000,,0.0000,4,9,1.3214,3,6,100,0.5,,0.0010,,0.0000,1010200,10000,4,1
4,0.0000,,0.0000,2,8,1.3326,3,1,100,0.5,,0.0019,,0.0000,1010000,10000,2,1
4,,,0.0000,4,4,25.0787,3,1,200,0.75,,0.0037,,,16040200,100000,8,
4,0.0000,,0.0000,8,5,0.1214,3,17,400,0.5,,0.0010,,0.0000,192480800,1000,8,1
2,0.0000,,0.0000,8,1,1.4750,3,3,400,0.25,,0.0010,,0.0000,320320400,10000,4,1
4,0.0000,0.0000,0.0000,8,2,1.9869,3,8,200,0.25,0.0196,0.0016,0.0001,0.0001,24040800,10000,2,0.6
2,0.0000,0.0000,0.0000,8,7,1.1030,2,19,200,0.25,0.0134,0.0012,0.0002,0.0001,200600,10000,2,0.5
8,,,0.0000,8,2,2.7269,2,8,100,0.5,,0.0217,,,30500,22875.0,4,
8,,,0.0000,8,2,0.1106,3,12,100,0.25,,0.0043,,,2020400,1000,4,
2,,,0.0000,4,1,0.0870,1,5,200,0.75,,0.0026,,,800,600.0,4,
2,0.0000,0.0000,0.0000,8,1,1.6017,3,28,200,0.75,0.0136,0.0014,0.0001,0.0001,24080600,10000,2,0.3
4,0.0000,,0.0000,8,4,14.3208,3,15,100,0.25,,0.0012,,0.0000,4010300,100000,2,1
8,0.0000,0.0000,0.0000,8,6,1.1699,2,26,400,0.5,0.0133,0.0022,0.0001,0.0001,322400,10000,2,0.5
2,,,0.0000,8,5,0.9188,1,5,400,0.75,,0.7383,,,3200,1000,4,
8,,,0.0000,2,4,0.0617,1,1,200,0.75,,0.0034,,,400,300.0,8,
2,0.0000,0.0000,0.0000,8,4,2.3629,3,27,200,0.75,0.0188,0.0015,0.0002,0.0001,8120800,10000,4,0.8
2,0.0000,0.0000,0.0000,8,4,8.7988,2,19,100,0.75,0.0194,0.0013,0.0001,0.0001,50300,37725.0,2,0.5
2,0.0000,,0.0000,8,5,0.2037,3,28,400,0.25,,0.0023,,0.0000,256161200,1000,2,1
4,,,0.0000,8,0,0.1671,1,9,200,0.5,,0.0055,,,1600,1000,4,
4,,,0.0000,8,0,0.1501,1,9,200,0.25,,0.0035,,,1600,1000,2,
4,0.0000,0.0000,0.0000,8,9,2.5084,3,15,400,0.75,0.0187,0.0018,0.0002,0.0001,128321600,10000,4,0.8
8,,,0.0000,8,6,5.6351,2,9,100,0.5,,0.0314,,,60200,45150.0,4,
8,,,0.0000,8,9,60.0002,2,9,400,0.25,,48.2027,,,801200,100000,4,
4,,,0.0000,8,8,0.1463,1,9,400,0.25,,0.0035,,,3200,1000,4,
4,,,0.0000,4,1,0.2298,3,1,200,0.25,,0.0189,,,16040200,1000,8,
4,0.0000,0.0000,0.0000,4,5,2.8037,3,1,100,0.75,0.0173,0.0016,0.0001,0.0001,2000200,10000,8,0.6
2,0.0000,,0.0000,8,2,1.9909,2,27,400,0.5,,0.0040,,0.0000,801200,10000,2,1
4,0.0000,,0.0000,8,9,2.4184,3,23,100,0.5,,0.0013,,0.0000,3010400,10000,2,1
2,0.0000,,0.0000,2,5,0.1746,2,0,200,0.25,,0.0024,,0.0000,40200,1000,4,1
4,0.0000,,0.0000,8,2,2.5592,3,15,200,0.5,,0.0017,,0.0000,48000400,10000,8,1
4,0.0000,,0.0000,8,2,0.1111,1,12,100,0.5,,0.0024,,0.0000,800,600.0,2,1
2,0.0001,0.0000,0.0000,8,2,2.1299,2,1,200,0.5,0.0180,0.0014,0.0002,0.0001,200600,10000,8,0.1
4,0.0000,,0.0000,2,8,23.6114,3,1,100,0.25,,0.0019,,0.0000,1010000,100000,2,1
2,0.0000,0.0000,0.0000,8,2,2.2219,3,23,400,0.25,0.0189,0.0016,0.0001,0.0001,320480000,10000,8,0.6
8,0.0000,,0.0000,8,2,0.1427,1,6,200,0.25,,0.0023,,0.0000,1600,1000,2,1
2,0.0000,,0.0000,8,9,25.9411,3,28,100,0.5,,0.0016,,0.0000,4030100,100000,2,1
2,,,0.0000,8,4,0.1941,1,1,200,0.5,,0.0044,,,1600,1200.0,8,
4,0.0000,0.0000,0.0000,4,5,0.0941,1,5,100,0.5,0.0168,0.0035,0.0001,0.0001,400,300.0,2,0.7
2,0.0000,,0.0000,8,6,2.3231,3,22,200,0.5,,0.0015,,0.0000,16080800,10000,2,1
8,0.0001,0.0003,0.0000,8,3,0.9832,1,6,200,0.75,0.0326,0.5513,0.0006,0.0011,1600,1000,2,0.51800224
8,,,0.0001,8,1,2.3855,2,4,100,0.5,,0.0330,,,40400,10000,8,
8,,,0.0000,8,8,0.2816,2,4,100,0.75,,0.0071,,,80000,1000,8,
2,0.0000,0.0000,0.0000,8,0,18.6816,2,16,200,0.75,0.0331,0.0011,0.0002,0.0001,200600,100000,4,0.7
2,0.0000,,0.0000,2,4,17.1770,2,0,400,0.5,,0.0022,,0.0000,320000,100000,4,1
4,,,0.0000,8,4,0.1099,1,9,100,0.75,,0.0028,,,800,600.0,2,
4,0.0000,,0.0000,8,4,19.2245,3,23,200,0.25,,0.0016,,0.0000,24080600,100000,2,1
8,0.0000,,0.0000,8,7,0.2071,3,1,100,0.25,,0.0015,,0.0000,3020300,1000,4,1
2,,,0.0000,8,6,0.2191,2,16,200,0.75,,0.0045,,,200600,1000,4,
2,,,0.0000,4,0,16.1357,2,0,200,0.25,,0.0596,,,160000,100000,4,
2,0.0000,,0.0000,8,7,16.5587,3,21,200,0.25,,0.0011,,0.0000,32040600,100000,4,1
2,0.0000,0.0001,0.0000,8,4,0.1790,3,28,400,0.75,0.0183,0.0010,0.0001,0.0001,192480800,1000,2,0.3
8,0.0000,0.0002,0.0000,8,8,1.5491,3,12,100,0.75,0.0186,0.0009,0.0008,0.0001,4020200,10000,4,0.2
2,0.0000,,0.0000,8,4,0.1379,3,21,400,0.75,,0.0009,,0.0000,192480800,1000,4,1
4,0.0000,0.0000,0.0000,2,7,0.1875,3,1,100,0.75,0.0153,0.0009,0.0002,0.0001,1000100,1000,2,0.6
4,0.0000,0.0000,0.0000,2,5,27.1467,3,1,100,0.75,0.0343,0.0031,0.0002,0.0001,1000100,100000,2,0.5
8,0.0000,0.0000,0.0000,8,2,0.1634,2,4,400,0.25,0.0126,0.0010,0.0001,0.0001,801200,1000,8,0.9
8,0.0000,,0.0000,8,0,0.1256,3,12,100,0.25,,0.0010,,0.0000,3030200,1000,4,1
2,,,0.0000,8,9,0.0555,1,5,100,0.25,,0.0061,,,800,600.0,8,
2,0.0000,,0.0000,8,4,24.7094,3,28,100,0.5,,0.0017,,0.0000,3030200,100000,2,1
4,,,0.0000,8,2,2.1619,3,17,100,0.5,,0.0046,,,1060100,10000,8,
4,0.0000,,0.0000,2,1,0.2206,3,1,100,0.25,,0.0013,,0.0000,1010000,1000,2,1
2,0.0000,0.0000,0.0000,8,5,2.0010,2,27,200,0.25,0.0205,0.0015,0.0002,0.0001,240400,10000,2,0.3
8,,,0.0000,8,8,21.0419,3,12,200,0.25,,0.0458,,,32080400,100000,4,
2,0.0000,0.0000,0.0000,8,2,18.1696,3,21,100,0.5,0.0298,0.0017,0.0002,0.0002,4010300,100000,4,0.3
4,0.0000,,0.0000,8,6,25.8792,3,8,200,0.5,,0.0016,,0.0000,32040600,100000,2,1
8,,,0.0000,8,2,60.0003,1,22,100,0.5,,59.9005,,,800,600.0,8,
4,0.0000,0.0000,0.0000,8,9,1.8913,3,17,100,0.5,0.0125,0.0010,0.0001,0.0001,3010400,10000,8,0.3
8,18.9550,,0.0000,8,5,60.0000,2,9,200,0.5,,17.9452,,20.0962,160800,10000,4,
8,0.0000,0.0000,0.0000,4,8,1.2872,2,4,100,0.5,0.0134,0.0009,0.0002,0.0001,30100,10000,4,0.7
8,,,0.0000,8,9,0.1214,3,1,100,0.5,,0.0034,,,3000500,1000,4,
2,0.0000,,0.0000,8,5,0.9884,2,16,400,0.25,,0.0009,,0.0000,641600,10000,4,1
2,0.0000,0.0000,0.0000,8,4,1.1531,2,27,400,0.5,0.0125,0.0018,0.0001,0.0001,801200,10000,2,0.9
8,,,0.0000,8,8,0.3717,1,22,400,0.5,,0.0043,,,3200,2400.0,8,
4,,,0.0000,8,4,0.1122,1,9,200,0.75,,0.0036,,,1600,1200.0,4,
4,0.0000,0.0000,0.0000,8,3,1.4566,3,15,100,0.75,0.0135,0.0010,0.0001,0.0001,3020300,10000,2,0.2
4,0.0000,0.0000,0.0000,8,9,1.2815,3,15,200,0.5,0.0131,0.0011,0.0001,0.0001,24200000,10000,2,0.3
4,0.0000,0.0000,0.0000,4,7,1.5482,3,1,400,0.75,0.0132,0.0011,0.0001,0.0001,192000400,10000,4,0.4
2,,,0.0000,8,0,0.0763,1,5,400,0.25,,0.0021,,,3200,1000,4,
8,,,0.0000,8,5,0.1027,1,8,200,0.75,,0.0071,,,1600,1000,8,
4,0.0000,,0.0000,8,4,0.1061,3,8,100,0.25,,0.0009,,0.0000,2030300,1000,2,1
4,,,0.0000,4,4,1.1762,3,1,400,0.25,,0.0039,,,128160400,10000,8,
2,,,0.0000,8,6,15.1317,3,23,100,0.5,,0.0363,,,6010100,100000,8,
4,,,0.0000,4,9,7.7721,2,6,200,0.5,,0.0697,,,80400,60300.0,4,
2,0.0000,,0.0000,8,0,0.1137,2,12,100,0.75,,0.0025,,0.0000,30500,1000,8,1
8,,,0.0000,8,8,0.2026,1,10,400,0.5,,0.0027,,,3200,2400.0,4,
4,,,0.0000,8,2,1.4668,3,15,100,0.5,,0.0065,,,6000200,10000,8,
4,,,0.0000,4,5,25.6357,3,1,100,0.25,,2.1369,,,2010100,100000,4,
8,,,0.0000,8,1,0.0568,1,8,100,0.5,,0.0025,,,800,600.0,8,
2,,,0.0000,8,2,0.1139,2,12,100,0.5,,0.0024,,,50300,1000,8,
8,0.0000,,0.0000,8,6,17.1435,3,12,100,0.25,,0.0017,,0.0000,4020200,100000,4,1
2,0.0000,0.0000,0.0000,8,6,19.8115,2,16,200,0.5,0.0266,0.0016,0.0001,0.0001,200600,100000,4,0.5
4,0.0000,,0.0000,4,6,20.4790,3,1,200,0.25,,0.0019,,0.0000,16000400,100000,8,1
2,0.0000,0.0002,0.0000,2,6,0.1722,2,0,400,0.75,0.0307,0.0009,0.0001,0.0001,160400,1000,4,0.1
4,,,0.0000,8,5,0.0544,1,9,100,0.25,,0.0032,,,800,600.0,2,
4,0.0000,,0.0000,8,3,23.5705,3,15,200,0.5,,0.0017,,0.0000,24080600,100000,2,1
8,0.0000,,0.0000,4,7,1.7060,2,4,100,0.25,,0.0014,,0.0000,20200,10000,4,1
2,0.0000,,0.0000,2,0,21.6334,2,0,400,0.25,,0.0016,,0.0000,160400,100000,4,1
4,0.0000,0.0000,0.0000,8,3,1.2422,3,15,100,0.5,0.0120,0.0010,0.0001,0.0001,3020300,10000,8,0.1
4,0.0000,0.0000,0.0000,8,5,1.5001,3,15,100,0.5,0.0130,0.0010,0.0001,0.0001,4000400,10000,8,0.3
8,0.0000,0.0000,0.0000,8,8,1.0622,2,9,100,0.25,0.0152,0.0010,0.0001,0.0001,30500,10000,4,0.7
4,,,0.0000,8,2,0.3395,1,9,400,0.5,,0.0053,,,3200,2400.0,2,
4,0.0000,,0.0000,8,6,0.1037,3,15,400,0.25,,0.0009,,0.0000,192321200,1000,2,1
4,0.0000,0.0000,0.0000,4,4,15.9242,3,1,200,0.5,0.0257,0.0020,0.0002,0.0001,16040200,100000,8,0.3
8,0.0000,,0.0000,8,6,14.7733,2,8,400,0.25,,0.0013,,0.0000,801200,100000,4,1
8,0.0001,0.0000,0.0000,8,7,0.2302,1,6,400,0.75,0.0197,0.0030,0.0002,0.0003,3200,1000,2,0.9
8,0.0000,,0.0000,8,3,0.3704,1,22,400,0.5,,0.0024,,0.0000,3200,2400.0,8,1
2,,,0.0000,8,7,0.1993,2,16,200,0.5,,0.0049,,,160800,1000,4,
4,,,0.0000,8,2,0.1975,1,11,200,0.5,,0.0071,,,1600,1200.0,8,
4,,,0.0000,8,7,0.1396,1,9,400,0.25,,0.0065,,,3200,1000,2,
2,,,0.0000,4,0,1.9170,2,0,400,0.25,,0.0135,,,640000,10000,4,
2,0.0000,0.0000,0.0000,8,3,0.2757,3,22,100,0.75,0.0171,0.0014,0.0001,0.0001,2020400,1000,2,0.7
8,,,0.0000,4,9,1.2446,2,4,400,0.75,,0.0047,,,320800,10000,4,
8,0.0000,,0.0000,4,2,25.0337,3,6,400,0.25,,0.0033,,0.0001,192000400,100000,4,1
8,,,0.0000,8,7,0.3748,1,10,400,0.5,,0.0082,,,3200,2400.0,4,
2,,,0.0000,8,6,26.1820,3,27,400,0.75,,0.0935,,,256161200,100000,4,
4,0.0000,,0.0000,4,5,0.2289,3,1,200,0.25,,0.0016,,0.0000,16040200,1000,4,1
4,0.0000,,0.0000,8,5,0.2448,3,15,200,0.5,,0.0014,,0.0001,32080400,1000,4,1
4,0.0000,,0.0000,8,2,2.4494,3,15,100,0.5,,0.0014,,0.0000,4030100,10000,4,1
2,0.0000,,0.0000,8,3,23.0096,2,19,400,0.75,,0.0013,,0.0000,801200,100000,2,1
8,,,0.0000,8,0,0.1448,1,6,400,0.25,,0.0059,,,3200,1000,2,
2,0.0000,,0.0001,8,6,2.6117,3,28,400,0.5,,0.0046,,0.0000,384320000,10000,2,1
4,,,0.0000,8,0,0.1154,1,9,100,0.75,,0.0035,,,800,600.0,2,
8,,,0.0000,8,4,0.1188,1,3,100,0.75,,0.0054,,,800,600.0,4,
2,0.0000,0.0000,0.0000,8,7,8.9458,2,19,100,0.75,0.0266,0.0014,0.0002,0.0001,50300,37725.0,2,0.3
2,,,0.0000,2,8,0.2212,2,0,400,0.5,,0.0092,,,320000,1000,4,
2,0.0000,,0.0000,8,7,0.2630,3,3,100,0.75,,0.0035,,0.0000,2050100,1000,4,1
2,0.0000,,0.0000,8,3,18.1060,3,27,100,0.75,,0.0014,,0.0000,4010300,100000,4,1
2,0.0000,,0.0000,8,3,1.4840,3,23,200,0.75,,0.0009,,0.0000,48080000,10000,8,1
4,0.0000,0.0000,0.0000,8,1,23.2833,3,17,200,0.5,0.0190,0.0019,0.0002,0.0001,24080600,100000,8,0.956
4,0.0000,,0.0000,4,7,0.2357,3,1,400,0.75,,0.0112,,0.0000,192000400,1000,4,1
2,,,0.0000,8,3,0.6796,1,1,400,0.75,,0.0113,,,3200,2400.0,8,
8,,,0.0000,8,5,2.4638,3,1,200,0.75,,0.0339,,,24200000,10000,4,
2,0.0000,0.0000,0.0000,8,2,2.3363,3,21,100,0.25,0.0157,0.0013,0.0001,0.0001,4010300,10000,4,0.8
8,0.0000,0.0000,0.0000,8,2,19.3802,2,9,200,0.5,0.0209,0.0012,0.0001,0.0001,160800,100000,4,0.7
4,,,0.0000,8,2,0.1420,1,9,400,0.5,,0.0059,,,3200,1000,4,829.
2,,,0.0000,8,1,0.3531,1,5,400,0.75,,0.0053,,,3200,2400.0,8,
4,0.0000,,0.0000,2,9,0.0964,3,1,200,0.25,,0.0008,,0.0000,8000200,1000,2,1
4,0.0000,,0.0000,8,2,1.2849,3,15,100,0.5,,0.0011,,0.0000,2030300,10000,2,1
