universe.size,Cycle breaking,Grounding,answer,number.of.independent.pairs,instance,proportion.probabilistic,Propagating evidence,domain.size,Clark's completion,Total time,number.of.facts,number.of.variables,maximum.arity,number.of.predicates,DSharp compilation,maximum.number.of.nodes
10100,0.0001,0.0008,0.4,0,2,0.5,0.0000,100,0.0000,0.1333,1000,4,2,2,0.0003,2
162800,0.0001,0.0022,0.6,19,9,0.75,0.0000,400,0.0000,0.1879,1000,2,2,8,0.0005,2
32080400,0.0000,0.0011,1,1,0,0.25,0.0000,200,0.0000,24.3183,100000,4,3,8,0.0004,8
3030200,0.0000,0.0040,1,1,4,0.5,0.0000,100,0.0000,25.4535,100000,4,3,8,0.0005,8
64001200,0.0000,0.0018,1,1,9,0.25,0.0000,400,0.0000,25.1755,100000,8,3,4,0.0004,4
1600,,0.0049,,9,0,0.25,0.0000,200,,0.1792,1000,4,1,8,,4
280200,,0.0064,,16,8,0.25,0.0000,200,,0.2220,1000,4,2,8,,2
256320800,0.0001,0.0010,0.7,23,9,0.75,0.0000,400,0.0000,2.6636,10000,8,3,8,0.0004,2
56000200,0.0000,0.0014,1,8,5,0.5,0.0000,200,0.0000,0.3303,1000,2,3,8,0.0005,4
3000100,0.0001,0.0020,1,1,3,0.5,0.0000,100,0.0000,31.4876,100000,8,3,4,0.0005,4
8240200,0.0000,0.0017,1,17,2,0.5,0.0000,200,0.0000,24.5955,100000,8,3,8,0.0005,4
1600,,0.0101,,6,7,0.75,0.0000,200,,0.2568,1200.0,2,1,8,,8
200600,0.0001,0.0016,0.7,8,5,0.25,0.0000,200,0.0000,1.7895,10000,4,2,8,0.0006,8
128481200,0.0000,0.0013,1,8,0,0.5,0.0000,400,0.0000,2.1203,10000,2,3,8,0.0004,4
120200,,0.1449,,4,4,0.75,0.0000,200,,24.4481,90150.0,4,2,4,,8
5020100,0.0001,0.0018,0.6,15,7,0.75,0.0000,100,0.0000,3.1600,10000,4,3,8,0.0007,4
320800,0.0002,0.0023,1,4,2,0.75,0.0000,400,0.0000,28.9921,100000,4,2,4,0.0005,8
30500,0.0019,0.0166,0.808,12,6,0.75,0.0000,100,0.0009,0.6339,1000,8,2,8,0.0381,2
320800,,34.8419,,0,6,0.5,0.0000,400,,60.0004,100000,4,2,4,,2
801200,0.0001,0.0070,1,19,2,0.25,0.0001,400,0.0001,0.5036,1000,2,2,8,0.0007,2
800,,0.0067,,12,5,0.75,0.0000,100,,0.4751,600.0,2,1,8,,4
800,,0.0456,,5,9,0.5,0.0001,100,,0.4819,600.0,8,1,8,,2
2050100,0.0002,0.0027,0.2,23,5,0.75,0.0000,100,0.0000,7.6401,10000,2,3,8,0.0017,4
3010400,0.0001,0.0023,1,28,8,0.75,0.0000,100,0.0001,0.9250,1000,2,3,8,0.0017,2
5020100,0.0000,0.0013,1,28,3,0.25,0.0000,100,0.0000,4.4952,10000,2,3,8,0.0004,2
320000,,0.1765,,0,3,0.25,0.0000,400,,23.6772,100000,4,2,2,,2
641600,0.0000,0.0012,1,16,5,0.5,0.0000,400,0.0000,25.4016,100000,4,2,8,0.0025,2
3200,0.0002,0.0043,0.9,9,8,0.75,0.0000,400,0.0000,0.3103,1000,2,1,8,0.0008,4
3200,,0.0062,,11,2,0.25,0.0000,400,,0.2982,2400.0,8,1,8,,4
128640800,0.0001,0.0017,1,8,3,0.25,0.0000,400,0.0001,3.9737,10000,2,3,8,0.0007,4
1010200,0.0000,0.0014,1,6,9,0.5,0.0000,100,0.0000,3.6319,10000,4,3,4,0.0004,8
1010000,0.0001,0.0045,1,1,8,0.5,0.0000,100,0.0000,2.2739,10000,2,3,2,0.0007,4
