domain.size,number.of.predicates,number.of.variables,number.of.facts,Cycle breaking,Grounding,maximum.number.of.nodes,Compiling SDDExplicit,maximum.arity,proportion.probabilistic,Propagating evidence,Total time,number.of.independent.pairs,answer,instance,universe.size
100,2,4,1000,0.0001,0.0012,2,0.0003,2,0.5,0.0000,0.1552,0,0.4,2,10100
400,8,2,1000,0.0001,0.0011,2,0.0003,2,0.75,0.0000,0.1537,19,0.6,9,162800
200,8,4,100000,0.0000,0.0014,8,0.0002,3,0.25,0.0000,16.0881,1,1,0,32080400
100,8,4,100000,0.0000,0.0013,8,0.0003,3,0.5,0.0000,24.4630,1,1,4,3030200
400,4,8,100000,0.0000,0.0013,4,0.0001,3,0.25,0.0000,24.6652,1,1,9,64001200
200,8,4,1000,,0.0022,4,,1,0.25,0.0000,0.0792,9,,0,1600
200,8,4,1000,,0.0044,2,,2,0.25,0.0000,0.1126,16,,8,280200
400,8,8,10000,0.0001,0.0020,2,0.0003,3,0.75,0.0000,1.7349,23,0.7,9,256320800
200,8,2,1000,0.0000,0.0013,4,0.0003,3,0.5,0.0000,0.2547,8,1,5,56000200
100,4,8,100000,0.0000,0.0019,4,0.0003,3,0.5,0.0000,27.2481,1,1,3,3000100
200,8,8,100000,0.0000,0.0011,4,0.0002,3,0.5,0.0000,16.4081,17,1,2,8240200
200,8,2,1200.0,,0.0042,8,,1,0.75,0.0000,0.1351,6,,7,1600
200,8,4,10000,0.0001,0.0016,8,0.0004,2,0.25,0.0000,2.7071,8,0.7,5,200600
400,8,2,10000,0.0000,0.0011,4,0.0002,3,0.5,0.0000,3.8595,8,1,0,128481200
200,4,4,90150.0,,0.0631,8,,2,0.75,0.0000,16.7380,4,,4,120200
100,8,4,10000,0.0001,0.0009,4,0.0002,3,0.75,0.0000,1.4996,15,0.6,7,5020100
400,4,4,100000,0.0000,0.0016,8,0.0002,2,0.75,0.0000,24.2490,4,1,2,320800
100,8,8,1000,0.0004,0.0041,2,0.0010,2,0.75,0.0000,0.2373,12,0.808,6,30500
400,4,4,100000,,38.3081,2,,2,0.5,0.0000,60.0002,0,,6,320800
400,8,2,1000,0.0000,0.0014,2,0.0003,2,0.25,0.0000,0.1324,19,1,2,801200
100,8,2,600.0,,0.0029,4,,1,0.75,0.0000,0.1025,12,,5,800
100,8,8,600.0,,0.0099,2,,1,0.5,0.0000,0.1119,5,,9,800
100,8,2,10000,0.0001,0.0016,4,0.0004,3,0.75,0.0000,2.6066,23,0.2,5,2050100
100,8,2,1000,0.0000,0.0009,2,0.0002,3,0.75,0.0000,0.1316,28,1,8,3010400
100,8,2,10000,0.0000,0.0010,2,0.0002,3,0.25,0.0000,1.4333,28,1,3,5020100
400,2,4,100000,,0.1236,2,,2,0.25,0.0000,17.0569,0,,3,320000
400,8,4,100000,0.0000,0.0012,2,0.0002,2,0.5,0.0000,20.0698,16,1,5,641600
400,8,2,1000,0.0001,0.0026,4,0.0014,1,0.75,0.0000,0.1844,9,0.9,8,3200
400,8,8,2400.0,,0.0040,4,,1,0.25,0.0000,0.3292,11,,2,3200
400,8,2,10000,0.0000,0.0013,4,0.0003,3,0.25,0.0000,2.0435,8,1,3,128640800
100,4,4,10000,0.0000,0.0011,8,0.0002,3,0.5,0.0000,1.7428,6,1,9,1010200
100,2,2,10000,0.0000,0.0019,4,0.0002,3,0.5,0.0000,1.2825,1,1,8,1010000
200,4,8,100000,,0.0040,4,,3,0.75,0.0000,23.2438,1,,4,16040200
400,8,8,1000,0.0001,0.0016,4,0.0003,3,0.5,0.0000,0.2481,17,1,5,192480800
400,8,4,10000,0.0000,0.0020,2,0.0003,3,0.25,0.0000,2.3538,3,1,1,320320400
200,8,2,10000,0.0001,0.0015,4,0.0003,3,0.25,0.0000,1.7269,8,0.6,2,24040800
200,8,2,10000,0.0001,0.0016,2,0.0005,2,0.25,0.0000,2.0130,19,0.5,7,200600
100,8,4,22875.0,,0.0352,8,,2,0.5,0.0000,4.9180,8,,2,30500
100,8,4,1000,,0.0071,8,,3,0.25,0.0000,0.1961,12,,2,2020400
200,4,4,600.0,,0.0040,2,,1,0.75,0.0000,0.1139,5,,1,800
200,8,2,10000,0.0001,0.0014,2,0.0004,3,0.75,0.0000,2.5680,28,0.3,1,24080600
100,8,2,100000,0.0000,0.0017,4,0.0002,3,0.25,0.0000,20.2618,15,1,4,4010300
400,8,2,10000,0.0001,0.0011,8,0.0002,2,0.5,0.0000,1.0621,26,0.5,6,322400
400,8,4,1000,,0.4270,2,,1,0.75,0.0000,0.5237,5,,5,3200
200,2,8,300.0,,0.0021,8,,1,0.75,0.0000,0.0332,1,,4,400
200,8,4,10000,0.0001,0.0010,2,0.0003,3,0.75,0.0000,1.5295,27,0.8,4,8120800
100,8,2,37725.0,0.0001,0.0014,2,0.0002,2,0.75,0.0000,7.5573,19,0.5,4,50300
400,8,2,1000,0.0000,0.0023,2,0.0003,3,0.25,0.0000,0.1968,28,1,5,256161200
200,8,4,1000,,0.0065,4,,1,0.5,0.0000,0.1639,9,,0,1600
200,8,2,1000,,0.0034,4,,1,0.25,0.0000,0.1432,9,,0,1600
400,8,4,10000,0.0001,0.0011,4,0.0002,3,0.75,0.0000,1.9948,15,0.8,9,128321600
100,8,4,45150.0,,0.0197,8,,2,0.5,0.0000,5.4522,9,,6,60200
400,8,4,100000,,44.8099,8,,2,0.25,0.0000,60.0004,9,,9,801200
400,8,4,1000,,0.0032,4,,1,0.25,0.0000,0.1278,9,,8,3200
200,4,8,1000,,0.0189,4,,3,0.25,0.0000,0.2262,1,,1,16040200
100,4,8,10000,0.0001,0.0015,4,0.0003,3,0.75,0.0000,2.7913,1,0.6,5,2000200
400,8,2,10000,0.0000,0.0038,2,0.0002,2,0.5,0.0000,2.0386,27,1,2,801200
100,8,2,10000,0.0000,0.0013,4,0.0003,3,0.5,0.0000,2.4829,23,1,9,3010400
200,2,4,1000,0.0000,0.0024,2,0.0003,2,0.25,0.0000,0.1856,0,1,5,40200
200,8,8,10000,0.0000,0.0017,4,0.0003,3,0.5,0.0000,2.6773,15,1,2,48000400
100,8,2,600.0,0.0000,0.0024,4,0.0003,1,0.5,0.0000,0.1040,12,1,2,800
200,8,8,10000,0.0001,0.0014,2,0.0004,2,0.5,0.0000,2.1327,1,0.1,2,200600
100,2,2,100000,0.0000,0.0020,4,0.0001,3,0.25,0.0000,24.4854,1,1,8,1010000
400,8,8,10000,0.0001,0.0014,2,0.0003,3,0.25,0.0000,1.5598,23,0.6,2,320480000
200,8,2,1000,0.0000,0.0022,8,0.0002,1,0.25,0.0000,0.1431,6,1,2,1600
100,8,2,100000,0.0000,0.0017,2,0.0004,3,0.5,0.0000,24.0028,28,1,9,4030100
200,8,8,1200.0,,0.0042,2,,1,0.5,0.0000,0.1946,1,,4,1600
100,4,2,300.0,0.0001,0.0035,4,0.0003,1,0.5,0.0000,0.0579,5,0.7,5,400
200,8,2,10000,0.0000,0.0013,2,0.0002,3,0.5,0.0000,2.3029,22,1,6,16080800
200,8,2,1000,0.0011,0.5448,8,0.0019,1,0.75,0.0000,0.7384,6,0.51800224,3,1600
100,8,8,10000,,0.0149,8,,2,0.5,0.0000,2.0812,4,,1,40400
100,8,8,1000,,0.0067,8,,2,0.75,0.0000,0.2405,4,,8,80000
