maximum.number.of.nodes,number.of.variables,Grounding,maximum.arity,universe.size,instance,DSharp compilation,Total time,proportion.probabilistic,answer,number.of.facts,number.of.independent.pairs,Propagating evidence,Cycle breaking,Clark's completion,number.of.predicates,domain.size
2,4,0.0012,2,10100,2,0.0004,0.1774,0.5,0.4,1000,0,0.0000,0.0001,0.0000,2,100
2,2,0.0026,2,162800,9,0.0004,0.1561,0.75,0.6,1000,19,0.0000,0.0001,0.0000,8,400
8,4,0.0012,3,32080400,0,0.0004,20.4997,0.25,1,100000,1,0.0000,0.0000,0.0000,8,200
8,4,0.0023,3,3030200,4,0.0003,25.6927,0.5,1,100000,1,0.0000,0.0000,0.0000,8,100
4,8,0.0020,3,64001200,9,0.0005,22.8878,0.25,1,100000,1,0.0000,0.0000,0.0000,4,400
4,4,0.0035,1,1600,0,,0.1550,0.25,,1000,9,0.0000,,,8,200
2,4,0.0074,2,280200,8,,0.1968,0.25,,1000,16,0.0000,,,8,200
2,8,0.0013,3,256320800,9,0.0003,2.3971,0.75,0.7,10000,23,0.0000,0.0001,0.0000,8,400
4,2,0.0014,3,56000200,5,0.0005,0.2841,0.5,1,1000,8,0.0000,0.0000,0.0000,8,200
4,8,0.0028,3,3000100,3,0.0006,21.7703,0.5,1,100000,1,0.0000,0.0001,0.0002,4,100
4,8,0.0022,3,8240200,2,0.0005,26.2630,0.5,1,100000,17,0.0000,0.0000,0.0000,8,200
8,2,0.0086,1,1600,7,,0.2089,0.75,,1200.0,6,0.0000,,,8,200
8,4,0.0016,2,200600,5,0.0005,2.0267,0.25,0.7,10000,8,0.0000,0.0001,0.0000,8,200
4,2,0.0011,3,128481200,0,0.0004,2.0262,0.5,1,10000,8,0.0000,0.0000,0.0000,8,400
8,4,0.0775,2,120200,4,,20.6627,0.75,,90150.0,4,0.0000,,,4,200
4,4,0.0010,3,5020100,7,0.0004,1.7305,0.75,0.6,10000,15,0.0000,0.0001,0.0000,8,100
8,4,0.0010,2,320800,2,0.0004,21.5872,0.75,1,100000,4,0.0000,0.0000,0.0000,4,400
2,8,0.0026,2,30500,6,0.0112,0.1529,0.75,0.808,1000,12,0.0000,0.0002,0.0001,8,100
2,4,42.4589,2,320800,6,,60.0002,0.5,,100000,0,0.0000,,,4,400
2,2,0.0016,2,801200,2,0.0005,0.1824,0.25,1,1000,19,0.0000,0.0000,0.0000,8,400
4,2,0.0035,1,800,5,,0.1219,0.75,,600.0,12,0.0000,,,8,100
2,8,0.0112,1,800,9,,0.1224,0.5,,600.0,5,0.0000,,,8,100
4,2,0.0061,3,2050100,5,0.0023,2.7272,0.75,0.2,10000,23,0.0001,0.0007,0.0003,8,100
2,2,0.0015,3,3010400,8,0.0005,0.2608,0.75,1,1000,28,0.0000,0.0000,0.0000,8,100
2,2,0.0010,3,5020100,3,0.0006,1.8062,0.25,1,10000,28,0.0000,0.0000,0.0000,8,100
2,4,0.2524,2,320000,3,,19.7689,0.25,,100000,0,0.0000,,,2,400
2,4,0.0013,2,641600,5,0.0021,24.0955,0.5,1,100000,16,0.0000,0.0000,0.0000,8,400
4,2,0.0039,1,3200,8,0.0005,0.1875,0.75,0.9,1000,9,0.0000,0.0002,0.0000,8,400
4,8,0.0047,1,3200,2,,0.3528,0.25,,2400.0,11,0.0000,,,8,400
4,2,0.0014,3,128640800,3,0.0004,2.2531,0.25,1,10000,8,0.0000,0.0000,0.0000,8,400
8,4,0.0048,3,1010200,9,0.0006,2.4657,0.5,1,10000,6,0.0001,0.0002,0.0001,4,100
4,2,0.0026,3,1010000,8,0.0004,2.6706,0.5,1,10000,1,0.0000,0.0000,0.0000,2,100
4,8,0.0022,3,16040200,4,,29.3489,0.75,,100000,1,0.0000,,,4,200
4,8,0.0025,3,192480800,5,0.0004,0.2351,0.5,1,1000,17,0.0000,0.0000,0.0000,8,400
2,4,0.0014,3,320320400,1,0.0004,2.5588,0.25,1,10000,3,0.0000,0.0000,0.0000,8,400
4,2,0.0016,3,24040800,2,0.0005,2.5887,0.25,0.6,10000,8,0.0000,0.0001,0.0000,8,200
2,2,0.0014,2,200600,7,0.0005,1.9093,0.25,0.5,10000,19,0.0000,0.0001,0.0000,8,200
8,4,0.0392,2,30500,2,,5.3675,0.5,,22875.0,8,0.0000,,,8,100
8,4,0.0057,3,2020400,2,,0.1891,0.25,,1000,12,0.0000,,,8,100
2,4,0.0038,1,800,1,,0.1099,0.75,,600.0,5,0.0000,,,4,200
2,2,0.0012,3,24080600,1,0.0005,3.0411,0.75,0.3,10000,28,0.0000,0.0001,0.0000,8,200
4,2,0.0018,3,4010300,4,0.0005,25.5099,0.25,1,100000,15,0.0000,0.0000,0.0000,8,100
8,2,0.0036,2,322400,6,0.0006,1.7278,0.5,0.5,10000,26,0.0000,0.0001,0.0000,8,400
2,4,0.8880,1,3200,5,,1.0820,0.75,,1000,5,0.0001,,,8,400
8,8,0.0040,1,400,4,,0.0645,0.75,,300.0,1,0.0000,,,2,200
2,4,0.0017,3,8120800,4,0.0007,2.6069,0.75,0.8,10000,27,0.0000,0.0001,0.0000,8,200
2,2,0.0020,2,50300,4,0.0007,8.7079,0.75,0.5,37725.0,19,0.0000,0.0001,0.0000,8,100
2,2,0.0019,3,256161200,5,0.0004,0.3225,0.25,1,1000,28,0.0000,0.0000,0.0000,8,400
4,4,0.0055,1,1600,0,,0.1718,0.5,,1000,9,0.0000,,,8,200
4,2,0.0036,1,1600,0,,0.1817,0.25,,1000,9,0.0000,,,8,200
4,4,0.0018,3,128321600,9,0.0004,2.4634,0.75,0.8,10000,15,0.0000,0.0001,0.0000,8,400
8,4,0.0586,2,60200,6,,9.8929,0.5,,45150.0,9,0.0000,,,8,100
8,4,36.3589,2,801200,9,,60.0001,0.25,,100000,9,0.0000,,,8,400
4,4,0.0022,1,3200,8,,0.0858,0.25,,1000,9,0.0000,,,8,400
